Gemeindekennziffer_lang;Gemeindekennziffer_kurz;Bundesland_Code;Kreis_Code;Gemeinde_Name
145214500;5214500;14;521;Oelsnitz/Erzgeb., Stadt
145214600;5214600;14;521;Olbernhau, Stadt
145214950;5214950;14;521;Pockau-Lengefeld, Stadt
145215000;5215000;14;521;Raschau-Markersbach
145215105;5215105;14;521;Scheibenberg, Stadt
145215205;5215205;14;521;Schlettau, Stadt
145215300;5215300;14;521;Schneeberg, Stadt
145215400;5215400;14;521;Schönheide
145215500;5215500;14;521;Schwarzenberg/Erzgeb., Stadt
145215600;5215600;14;521;Sehmatal
145215705;5215705;14;521;Seiffen/Erzgeb., Kurort
145215905;5215905;14;521;Stollberg/Erzgeb., Stadt
